model_number,product,price
MO04533Q,Mobil 1 Synthetic Motor Oil,147.99
MOH4523Q,"Mobil 1 High Mileage Full Synthetic Motor Oil 5W-20, 5 qt (3 Pack)",141.09
MAG00822,"Gl-5 Gear Oil, 80w-90 ~ 2.5 Gal",118.93
MAG60312,"Fleet Oil, 10w30 ~ 2-1/2 Gal",98.73
MOB1304G,"SAE 15W-40 Delvac Oil, SAE 15W-40 ~ Gal",91.04
MAG61170,"Fleet Oil, 15w40 ~ 2-1/2 Gal",87.37
MAG65828,Synthetic Dexos1 Oil ~ 5 qt,83.77
MAG64192,"Full Synthetic Motor Oil, SAE 5W-20 ~ 5 Qt",82.67
FD0313PL,"Synthetic Blend Oil, SAE 10W30 ~ Qt",80.89
MAG00622,ISP 22 Turbine Drip Oil ~ 2.5 Gal,76.43
MAG00502,"Mag 1 Oil, 10w30 ~ 2.5 Gal",73.86
MAG64193,"Fsyn Dexos1 Oil, 5w30 ~ 5 qt.",71.98
MAG00232,"Non-Detergent Oil, 30W ~ 2.5 Gal",71.40
MAG00402,"Heavy Duty Oil, SAE-30W ~ 2.5 gal",71.38
MAG00522,MAG1 Universal Tractor Hydraulic Fluid ~ 2.5g,68.52
MAG00462,Iso46 Medium Hydrlc Oil ~ 2.5 Gal,68.40
MAG00292,"All Year Hydraulic Oil, SAE 5W-20 ~ 2.5 Gal",67.84
MAG00682,Anti-Wear Iso68 Hydrlc Fluid ~ 2.5 Gal,67.80
MAG66734,"High Milage Oil, 5w20 ~ 5 Qt",66.58
MAG67180,"Synthetic Blend High Milage Oil, SAE 10W-30 ~ 5 Qt",66.58
MAG66732,Synthetic High Mileage Oil SAE 5W-30,66.58
CMI.HD40.1232.0,"Motor Oil, Super HD SAE-40 ~ Quart",65.96
MAG00322,Anti-Wear Iso32 Hydrlc Oil ~ 2.5 Gal,65.50
MAG64194,"Mag1 Full Synthetic Oil, SAE 10W-30 ~ 5 Qt",63.17
CMI.HD30.1232.4,"Motor Oil, Super HD SAE 30 ~ Quart",62.74
MAG62378,Mag1 Synthetic Gear Oil. SAE 75W-90 ~ Qt,61.20
MAG62924,"Fleet Oil, 10w30 ~ Gallon",59.98
MO98JQ66,"Mobil 1 Advanced Full Synthetic Motor Oil, SAE 0W-20 ~ Quart",59.78
MAG62939,"Mag1 Motor Oil, SAE 10W-30 ~ 5 Qt",59.55
MO98HC95,"Mobil 1 Full Synthetic Motor Oil, SAE 5W-20 ~ Qt",59.03
MO481119,"Full Synthetic Motor Oil, SAE 5W-30 ~ Qt",59.03
MO481176,"Synthetic Motor Oil, SAE 10W-30 ~ Qt",58.65
CMI.PC30.1232.1,"Motor Oil, SAE 30 ~ Quart",58.19
MAG62937,"Mag1 Synthetic Blend Motor Oil, SAE 5W-30 ~ 5 Qt",57.24
CMI.FW20.1232.1,"Motor Oil, Synthetic Blend ~ SAE 5W 20",56.10
MAG62941,"Mag1 Synthetic Blend Motor Oil, SAE 5W-20 ~ 5 Qt",55.83
MAG62663,MAG1 Power Steer Fluid ~ Gal,54.11
CMI.ND40.1232.7,"Motor Oil, Non Detergent ~ SAE 40",49.86
CMI.10W40.1232.,"SuperPRO MAX Synthetic Blend Motor Oil, 10W-40 ~ Quart",49.28
CMI.10W30.1232.,Cam2 S-Syn SAE 10W-30 ~ Qt,47.86
CMI.5W30.1232.1,"Motor Oil, Synthetic Blend ~ SAE 5W-30",47.82
CMI.ND30.1232.7,"Cam2 Non Detergent Motor Oil, Sae 30 ~ Quart",44.75
MAG00326,Iso 32 Hydraulc Oil ~ Gal,41.85
MARV144G,Marvel Mystery Oil ~ Gal,40.13
PZ0313P6,"Pennzoil, 10w30 ~ Qt",40.06
MAG64092,"MAG1 Synthetic Transmission Gluid, Low-vis ~ Qt",39.52
PZ0452P6,"Pennzoil, SAE 5W-20 ~ Qt",39.51
PZ0453P6,"Pennzoil, SAE 5W-30 ~ Qt",39.48
CMI.80W90.1232.,Cam2 80w-90 Gl-5 Gear Oil ~ Qt,38.92
MAG00915,Automatic Transmission Fluid ~ Qt,38.23
LUC10002,Heavy Duty Oil Stabilizer ~ Gal,33.59
LUC10018,Lucas Hydraulic Oil Booster & Stop Leak ~ Gallon,32.82
MAG61658,"Fleet Oil, SAE 15W-40 ~ Qt",30.24
MAG62627,"Full Synthetic Diesel Oil, SAE 5W-40 ~ Gal",29.96
MAG62891,"Full synthetic Motor Oil, 5w30 ~ Qt",29.15
MAG61656,"Mag1 Fleet Diesel Oil, SAE 30W ~ Qt",28.13
MAG170165,170165 Qt 10w30 Mag1 Fsyn Oil,27.82
MAG65834,"Full synthetic Motor Oil, SAE 0W2 ~ Qt",27.46
MAG64829,"High Mileage Synthetic Blend Motor Oil, SAE 5W-20 ~ Qt",27.45
MAG68761,Non-Detergent Oil ~ 30w,27.21
MAG61654,"Multi Weight Premium Oil, SAE 20W-50 ~ Qt",26.62
MOS452P6,"Mobil Super Motor Oil, SAE 5W-20 ~ Qt",26.20
MOS453P6,"Mobil Super Oil, SAE 5W-30 ~ Qt",26.20
MAG64841,"Mag 1 Hugh Mileage Synthetic Blend Oil, SAE 10W-40 ~ Qt",26.07
MAG61646,"Heavy Duty Oil, SAE 30W ~ Qt",25.47
MAG64835,"Synthetic Blend High Mileage Oil, SAE 5W-30 ~ Qt",24.92
MAG61648,"Premium Motor Oil, SAE 10W-30 ~ Qt",23.16
MAG61650,"Mag1 Motor Oil, 10w40 ~ Qt",23.09
MAG61652,"Mag1 Synthetic Blend Oil, SAE 5W-30 ~ Qt",22.70
MAG62943,"MAG1 Synthetic blend Oil, SAE 5W-20 ~ Qt",22.16
MAG60136,Marine 2-Cycle Oil ~ Gal,21.45
LUC10019,Lucas Hydraulic Oil Booster & Stop Leak ~ Quart,10.29
SHE.550049483,"Motor Oil, 15w-40 ~ Qt",7.40
337011,Multi-Ratio 2 Cycle Oil ~ 15.6 oz,7.04
MG0SNOP6,MAG1 Premium Snow Plow Hydraulic Oil ~ Quart,6.84
FD0452PL,"Synthetic Blend Motor Oil, 5w20 ~ Quart",6.72
100005,"SAE 30 Oil, 18 ounce",6.38
337000,"Motor Oil - Small Engine SAE 30, 20 Ounce",5.27
MG52HJPL,MAG1 Hydraulic Jack Oil Lubricant ~ Quart,4.84
272075,"2 Cycle Oil - Ashless, 8 Ounce",4.76
CRLM3020,"Lawn Mower Oil, 30W ~ 20 oz.",3.95
337010,"2 Cycle Oil Mix, 8 ounce",3.68
101456,Three In One Motor Oil,2.67
MAG00152,Mag00152 12 Oz Gas Treatment,2.39
100037,"Easy Mix Oil - 2 cycle, 3.2 oz.",2.37
337126,Synthetic 2 Cycle Oil ~ 2.6oz,2.30
MAG60179,MAG1 Universal 2-cycle Engine Oil,1.00
